stack_id,stack_name,category,roles,primary_language,frameworks_libraries,database_storage,infrastructure_tools,skills_description
STK-001,Modern Full-Stack Web,Web Development,"Full Stack Engineer, Web Developer",TypeScript,"React, Next.js, Node.js, Express, Tailwind CSS",PostgreSQL,Docker, Vercel, Git, REST API,"Comprehensive full-stack Web development using TypeScript, Next.js, React, Node.js express APIs, PostgreSQL relational database, Docker containerization, and RESTful web services."
STK-002,Python AI & Machine Learning,Data & AI,"ML Engineer, AI Researcher, Data Scientist",Python,"PyTorch, TensorFlow, Scikit-Learn, HuggingFace, FastAPI",Vector Database (Pinecone, Qdrant),MLflow, Docker, CUDA, Jupyter,"Deep learning, machine learning, natural language processing, neural networks, PyTorch, Scikit-Learn, model deployment using FastAPI, TF-IDF vectorization, cosine similarity, vector embeddings."
STK-003,DevOps & Cloud Native,Cloud & Infrastructure,"DevOps Engineer, Site Reliability Engineer (SRE)",Go,"Kubernetes, Terraform, Helm, Prometheus, Grafana",Redis,AWS, GCP, Docker, CI/CD Pipelines, Ansible,"Cloud-native infrastructure management, container orchestration with Kubernetes, infrastructure as code using Terraform, Go scripting, CI/CD automation, monitoring with Prometheus and Grafana."
STK-004,High-Performance Microservices,Backend Engineering,"Backend Architect, Systems Engineer",Go,"Gin, gRPC, Protobuf, Kafka, RabbitMQ",PostgreSQL, Redis,Docker, Kubernetes, Jaeger, Envoy,"Distributed backend systems, event-driven architecture using Kafka, high-throughput gRPC microservices in Go, PostgreSQL database caching with Redis, containerization."
STK-005,Cross-Platform Mobile,Mobile Development,"Mobile Engineer, iOS/Android Developer",Dart,"Flutter, React Native, Redux, Zustand",SQLite, Firebase,App Store Connect, Fastlane, Docker, Codemagic,"Cross-platform mobile application development for iOS and Android using Flutter or React Native, state management, SQLite local offline storage, Firebase backend integration."
STK-006,Enterprise Java Backend,Enterprise Software,"Java Developer, Enterprise Architect",Java,"Spring Boot, Spring Cloud, Hibernate, Maven",Oracle DB, PostgreSQL, Redis,Docker, Jenkins, AWS EC2, Kubernetes,"Scalable enterprise backend services using Java, Spring Boot microservices, ORM mapping with Hibernate, SQL database design, Jenkins CI/CD pipelines, AWS deployment."
STK-007,Big Data & Data Engineering,Data Engineering,"Data Engineer, Analytics Engineer",Python,"Apache Spark, PySpark, Airflow, dbt, Pandas",Snowflake, BigQuery, Delta Lake,AWS S3, Databricks, Kafka, Docker,"Large-scale data processing pipelines using PySpark and Apache Spark, data warehousing with Snowflake and BigQuery, workflow orchestration with Apache Airflow and dbt."
STK-008,Cybersecurity & SecOps,Security,"Security Engineer, Penetration Tester",Python,"Scrapy, Wireshark, Metasploit, Nmap, Cryptography",Elasticsearch, Splunk,AWS Security, Docker, Vault, Linux,"Information security, threat detection, network penetration testing, SIEM log monitoring with Splunk and Elasticsearch, vulnerability scanning, cryptographic security protocols."
STK-009,Full-Stack Python Web,Web Development,"Python Web Developer, Software Engineer",Python,"Django, FastAPI, Jinja2, Celery, HTMX",PostgreSQL, Redis,Docker, Nginx, Gunicorn, Linux,"Rapid web development using Python Django framework, FastAPI REST microservices, asynchronous task queues with Celery and Redis, PostgreSQL relational database."
STK-010,Embedded Systems & IoT,Embedded & IoT,"Embedded Engineer, Hardware Software Engineer",C++,"FreeRTOS, Embedded C++, PlatformIO, MQTT",SQLite,Flash Memory, ESP32, STM32, ARM Cortex, Linux,"Low-level embedded hardware programming in C and C++, real-time operating systems (FreeRTOS), IoT communication over MQTT protocols, microcontrollers."
STK-011,Modern Frontend UI/UX,Frontend Engineering,"Frontend Developer, UI/UX Engineer",TypeScript,"React, Vue.js, Vite, Tailwind CSS, Redux Toolkit",IndexedDB, LocalStorage,Vercel, Netlify, Cypress, Storybook,"High-performance client-side web application development, responsive CSS styling, state management with Redux and React, component testing, single page application (SPA)."
STK-012,Jamstack & Serverless Web,Web Development,"Jamstack Developer, Serverless Architect",JavaScript,"Gatsby, Astro, Nuxt.js, Tailwind CSS",Supabase, Cloudflare D1,AWS Lambda, Cloudflare Workers, Vercel,"Edge computing, serverless functions, static site generation (SSG) with Astro or Gatsby, Supabase database, headless CMS integration, fast CDN delivery."
STK-013,FinTech & Real-Time Analytics,Financial Tech,"FinTech Engineer, Quantitative Developer",C++,"QuantLib, Apache Arrow, ZeroMQ, Boost",TimescaleDB, PostgreSQL,Linux, Low-Latency Networking, Docker,"Low-latency financial trading systems, quantitative analysis, real-time streaming data with ZeroMQ, time-series database management with TimescaleDB."
STK-014,Game Development & Graphics,Game Development,"Game Developer, Graphics Programmer",C#,"Unity, Unreal Engine, Shader Graph, DirectX",SQLite, Custom Binary,Buildbox, RenderDoc, Blender, Git,"3D and 2D game engine development using Unity (C#) or Unreal Engine (C++), physics engine simulation, graphic shaders, custom asset optimization."
STK-015,Blockchain & Web3 DApps,Web3 & Crypto,"Smart Contract Engineer, Web3 Developer",Solidity,"Ethers.js, Hardhat, Foundry, Web3.js, React",IPFS, The Graph,Ethereum, Polygon, Metamask, Docker,"Decentralized smart contract development on Ethereum using Solidity, Hardhat testing environment, Web3.js frontend integration, IPFS decentralized storage."
